row_id,text,pred_label,confidence,corrected_label
110,"Во французском городе Гавр (регион Верхняя Нормандия) двадцатилетний молодой человек задушил мать из-за запрета ехать на джихад в Сирию. Об этом в понедельник, 12 сентября, сообщает France Info. Как рассказали в полиции, после совершения убийства преступник сам позвонил в дежурную часть и признался в содеянном. После задержания убийца сообщил следователям, что решился на преступление под влиянием радикальных идей. По данным правоохранительных органов, молодой человек страдает психическим расстройством. Попадал ли он ранее в поле зрения полиции в связи со своими экстремистскими убеждениями — не сообщается. 2 сентября этого года, прокурор Парижа Франсуа Молен заявил о высокой вероятности совершения новых терактов на территории страны. По его мнению, особую тревогу вызывает экстремистская идеологическая обработка, которой подвергаются молодые люди в социальных сетях. В качестве примера он рассказал о возросшем количестве интернет-профилей девочек-подростков, на которых излагаются хитроумные и изощренные планы террористических атак. По данным французского министерства внутренних дел, сейчас на территории Сирии и Ирака на стороне боевиков воюют около 700 граждан страны.",neutral,0.45,
120,"В Таиланде вышел комикс, рассказывающий о жизни бывшего премьер-министра Таксина Чинавата (Thaksin Shinawatra), свергнутого в результате военного переворота 19 сентября, сообщает агентство AFP. Тираж комикса ""Жизнь Таксина"" (Thaksin's Life) составил 5000 экземпляров. На 212 страницах рассказывается о судьбе 57-летнего миллиардера, добившегося всего своим трудом. Одна из глав посвящена тому, как телемагнат Таксин, став премьером Таиланда, направил все свои силы на улучшение положения бедных таиландских крестьян путем предоставления их семьям займов под низкие проценты. ""Богачам, - говорит главный герой комикса, - моя политика чужда и непонятна, зато она близка беднякам"". ""Миссия Таксина не закончена, - обещает в другой главе дедушка своему внуку. - Защитник бедняков не оставит их одних. Я верю, он обязательно вернется"". Комикс, в котором говорится о возвращении  Таксина Чинавата, появился в то время, когда во всем Таиланде еще действует комендантский час, так как военные опасаются волнений сторонников свергнутого премьера. Автор комикса 40-летняя Посаторн Бутр-анан (Posatorn Butr-anan) из Бангкока призналась, что начала писать книгу о Чинавате задолго до военного переворота, однако события 19 сентября заставили ее поспешить с окончанием.  Закончив текст, она отдала его одному художнику, попросив сделать комикс. Посаторн заявила, что написать книгу ее побудила личная симпатия к Чинавату. ""Я надеюсь, что те, кто любит Таксина, обязательно ее купят"", - добавила она, однако призналась, что пока спрос на книгу невелик. Напомним, что возглавляемое Таксином Чинаватом правительство было низложено в результате военного переворота, происшедшего в ночь с 19 на 20 сентября. Чинавата обвинили в коррупции и кумовстве. В этот момент премьер находился в Нью-Йорке на ежегодной ассамблее ООН. В страну Таксин так и не вернулся, оставшись на неопределенное время в Лондоне, где у него есть дом. Чинават пользовался широкой поддержкой в северных преимущественно сельских районах Таиланда. В частности, он провел реформу, по которой любой гражданин смог получить квалифицированную врачебную помощь по цене всего 80 центов за один визит к врачу. За время правления Чинавата доходы таиландских крестьян, которые составляют две трети населения страны, возросли на 60 процентов.",positive,0.45,
130,"Экс-чемпион мира по боксу в полутяжелом и супертяжелом весе американец Рой Джонс записал новый альбом в стиле хип-хоп и ритм-энд-блюз, который называется ""Body Head Bangerz Volume 1"". На одну из композиций ""I Smoke, I Drank, - Remix"", которая выпущена отдельным синглом, снят видеоклип. Альбом лучшего боксера последнего десятилетия уже поступил в продажу. Джонс записал пластинку на  Universal Motown Records – известной звукозаписывающей фирме, которая специализируется на темнокожих исполнителях. В работе над альбомом боксеру помогали известные в США музыканты, работающие в хип-хопе: Juvenile, Choppa, Mike Jones, Lil Flip, Fiend, Petey Pablo, The YoungBloodz, Magic и многие другие. В видеоклипе Джонс предстает перед зрителями в белом костюме, окруженный исполнителями в темной одежде. Напомним, что Рой Джонс проиграл два своих последних поединка. В мае он был отправлен в нокаут Антонио Тарвером, а в сентябре проиграл Гленкоффу Джонсону также нокаутом. После поединка с Джонсоном он даже попал в больницу с сотрясением мозга. Рой Джонс заявил, что принял решение немного отдохнуть от бокса, однако о завершении карьеры не объявлял.",negative,0.45,
140,"Покупатели в Московской области предпочитают приобретать под дачи участки площадью не менее 10 соток, заявила в пятницу в ходе онлайн-конференции о развитии рынка загородной недвижимости на сайте РИА Новости руководитель направления загородной недвижимости ""МИАН-агентство недвижимости"" Светлана Кондачкова.По словам Кондачковой, привычные ""шесть соток"" давно перестали быть основным целевым сегментом этого рынка, хотя и занимают значительную долю в структуре спроса на загородную недвижимость Московской области. Размер участка, интересного потребителю, даже в рамках эконом-класса год от года увеличивается, несмотря на рост цен.Сейчас, по словам Кондачковой, наиболее ликвидными объектами на рынке загородной недвижимости Подмосковья являются коттеджи в строящихся организованных коттеджных поселках и земельные участки под индивидуальную застройку. В среднем коттедж эконом-класса, выполненный под чистовую отделку, в организованном поселке стоит от 250 тысяч долларов.Кондачкова также уточнила, что средняя стоимость квадратного метра в таунхаусах, расположенных за городом, составляет 2,2 тысяч долларов, а средняя стоимость квадратного метра в типовой городской квартире в Москве - более четырех тысяч долларов.",neutral,0.45,
150,"Житель города Хаддон-Тауншип в штате Нью-Джерси, США, нашел телефон своего сына в мусорной свалке высотой 15 метров. Об этом сообщает NBC Philadelphia. По данным телеканала, ученик средней школы Итан Ронкас (Ethan Roncace) случайно выбросил гаджет в мусорный бак. Его отец Крэйг (Craig Roncace) использовал специальное приложение, с помощью которого отследил местоположение смартфона. Некоторое время устройство «двигалось» по карте, а затем остановилось в одном из объектов утилизации отходов Кованта (Covanta) в городе Камден. Мужчина отправился по адресу свалки, где принялся копать 15-метровую гору мусора. Он нашел телефон за 30 минут. Гаджет оказался в исправном состоянии. Сотрудник Кованты Рич Харрингтон (Rich Harrington) рассказал журналистам, что Крэйг успел вовремя: через некоторое время рабочие должны были отвозить мусор на полигон. В августе прошлого года работники мусорной свалки в польском городе Колобжег нашли в старом пылесосе и аудиоколонке банкноты на общую сумму полмиллиона евро.",positive,0.45,
160,"Премьер-министр Израиля Биньямин Нетаниягу и министр иностранных дел Авигдор Либерман объявили об эвакуации посольства страны в Иордании. Как сообщает ""Гаарец"", правительство страны опасается проведения в Аммане антиизраильских протестов, подобных беспорядкам у посольства Израиля в Каире. Изначально Израиль планировал отправлять своих дипломатов из Аммана домой только на выходные, оставляя в посольстве одного диппредставителя и охрану. Однако в среду, 14 сентября, после слухов о готовящихся на четверг, пятницу и все выходные беспорядках израильский МИД принял решение о досрочной эвакуации дипмиссии в Иордании. Призыв к проведению массовых акций протеста у израильского посольства в Аммане появился в социальной сети Facebook. Согласно информации на страничке ""события"", мероприятие запланировано на четверг, 15 сентября. О своем желании присоединиться к демонстрации на настоящий момент заявили 3400 человек. При этом власти Израиля, по данным ""Гаарец"", сомневаются, что акции удастся собрать больше тысячи человек. Кроме того, источник издания выразил уверенность в том, что протестующих разгонят службы безопасности Иордании и ситуация, подобная беспорядкам в Египте, не повторится. Напомним, что в ходе беспорядков у посольства Израиля в Каире 9-10 сентября военнослужащими и полицейскими Египта были задержаны 130 человек. Протестующие прорвались на территорию посольства и сорвали со здания израильский флаг. Для разгона демонстрантов полиция применила слезоточивый газ. В результате подавления беспорядков четыре человека погибли, более тысячи человек, в том числе около 300 полицейских, получили ранения.",negative,0.45,
170,"Российская лыжница Елена Веденеева, в ноябре 2009 года отказавшаяся проходить допинг-контроль, дисквалифицирована на два года, сообщает агентство ""Весь спорт"". Решение об отстранении Веденеевой было принято Международной федерацией лыжных видов спорта (FIS) 28 февраля, но известно об этом стало только сейчас. 38-летняя Веденеева отказалась проходить внесоревновательный допинг-контроль 28 ноября 2009 года. 18 января ее дело разбиралось в режиме телеконференции, а 28 февраля специальная комиссия комиссия FIS вынесла решение о двухлетней дисквалификации. По существующим правилам, сроком окончания дисквалификации считается 15 декабря 2011 года. Кроме того, Веденеева должна будет вернуть все медали и призовые деньги. Только в этом случае она сможет выступать в соревнованиях, проводимых под эгидой FIS. Россиянка может оспорить свою дисквалификацию в течение 21 дня в Спортивном арбитражном суде (CAS).",neutral,0.45,
180,"Снятую через сервис арендного жилья Airbnb квартиру в Лондоне превратили в своего рода ночной клуб с диджеем и вышибалой. Об этом пишет газета Islington Gazette. По данным издания, около 200 человек устроили шумную вечеринку в квартире с одной спальней в районе Кэнонбери на севере английской столицы. Уточняется, что инцидент произошел в ночь на субботу, 4 марта. По словам одного из соседей, при этом использовались профессиональные колонки и микрофон. На вечеринке также работал диджей, а вход в квартиру охранял вышибала. Соседи, которые не смогли уснуть из-за шума, вызвали полицию. Стражи порядка, прибывшие около 03:00 по местному времени, из-за большого числа людей в квартире вызвали подкрепление, которое оказалось на месте только через полтора часа. После этого вечеринка была прекращена, ее участники разошлись. Арестовывать никого не стали. Представитель Airbnb заявил, что снявший эту квартиру пользователь сервиса отныне внесен в черный список.",positive,0.45,
190,"До конца 2017 года в России пройдут испытания мощного судового лазера. Холдинг Ростеха «Швабе» и Всероссийский научно-исследовательский институт по проблемам гражданской обороны и чрезвычайных ситуаций МЧС России подписали протокол, сообщает «Интерфакс». «Лазерный комплекс обеспечит проводку любых судов через ледовые поля вне зависимости от их мощности. Это позволит создать полноценную круглогодичную транспортную инфраструктуру в субарктических и арктических районах России, снизить ледовую нагрузку на инженерные сооружения, работающие на континентальном шельфе», — сообщил генеральный директор «Швабе» Алексей Патрикеев. Новая судовая лазерная установка мощностью 200 киловатт способна обнаруживать в ледяной корке трещины и фокусировать на них лазер. При помощи устройства  можно будет разрезать лед толщиной до одного метра. Лазерная судовая установка разработана специалистами предприятия «Швабе» — Национального центра лазерных систем и комплексов «Астрофизика» в рамках программы «Развитие гражданской морской техники». Представители холдинга рассказали, что место проведения эксперимента выберут в течение месяца. Также определят перечень судов, которые примут в нем участие. Лазер станет новым способом прокладывания судоходных русел в ледяных полях. В настоящее время существует два способа проходить через лед: продавливать его массой судна или разрезать с помощью форштевня - носовой части киля. Для этой цели используются ледоколы  «Арктика» и «Тамыр».",negative,0.45,
200,"Российская теннисистка Мария Шарапова, не выступавшая из-за травмы правой ноги на турнирах два с половиной месяца, не смогла доиграть первую встречу после возвращения на корт. Об этом сообщается в официальном микроблоге WTA в Twitter. Шарапова отказалась от продолжения борьбы в матче второго круга турнира в Ухани (Китай) с чешкой Барборой Стрыцовой. Поведя в третьем сете 2:1, россиянка обратилась за помощью врача, но не смогла продолжить встречу. 25 сентября Федерация тенниса России сообщила. что Шарапова включена в состав российской национальной сборной на финальный матч Кубка Федерации по теннису против команды Чехии, который состоится 14-15 ноября в Праге. Помимо Шараповой, за российскую команду также сыграют Екатерина Макарова, Анастасия Павлюченкова и Елена Веснина. В августе Шарапова травмировала ногу, из-за чего пропустила Открытый чемпионат США (US Open).",neutral,0.45,
210,"Олимпийская чемпионка, рекордсменка мира в прыжках с шестом Елена Исинбаева представлена командованием железнодорожных войск к званию ""старший лейтенант"", сообщает РИА ""Новости"". Исинбаева, недавно в Лондоне преодолевшая историческую высоту в пять метров, является членом спортивного клуба железнодорожных войск. За свою карьеру российская спортсменка, ставшая в прошлом году лучшей легкоатлеткой мира, и уверенно возглавляющая рейтинг Международной федерации легкой атлетики нынешнего года, установила уже 17 мировых рекордов. ""Елене Исинбаевой, которая является членом спортивного клуба железнодорожных войск, было присвоено звание младшего лейтенанта, потом вне очереди звание лейтенанта, а сейчас мы представляем ее к званию старший лейтенант. Мы поощряем и поддерживаем Елену"", - сказал журналистам командующий железнодорожными войсками генерал-полковник Григорий Когатько. Военную карьеру Елена Исинбаева сделала за полтора года. В мае 2004 года Исинбаевой было присвоено звание старший прапорщик, а спустя 14 месяцев она представлена к званию старшего лейтенанта, подчеркивает ИТАР-ТАСС. 5 июля нынешнего года Исинбаева стала дипломированным специалистом - закончила Волгоградскую государственную академию физкультуры. Диплом о высшем образовании получила вместе с олимпийской чемпионкой по прыжкам в высоту Еленой Слесаренко и полузащитником ЦСКА Евгением Алдониным. Решением ученого совета Исинбаева была зачислена на
первый курс магистратуры и продолжат обучение в стенах академии. Именно диплом о высшем образовании позволил командованию Железнодорожных войск присвоить ей очередное воинское звание - старший лейтенант.",positive,0.45,
220,"Во вторник израильские солдаты уничтожили 15 домов в лагере палестинских беженцев Рафиах на юге сектора Газа, сообщает газета Ha'aretz. По словам военных, из этих зданий боевики вели огонь по опорным пунктам израильской армии, находящимся рядом с египетской границей. Во время операции по уничтожению домов палестинцы взорвали две бомбы, двое солдат получили легкие ранения. Ранее израильтяне разрушили еще два дома, один из которых находился неподалеку от резиденции палестинского лидера Ясира Арафата в Рамалле, а второй - в пригороде Бейтунии. Источник из окружения премьер-министра Израиля Ариэля Шарона сообщил, что Шарон пообещал ""жесткий и стремительный"" ответ на теракты в Иерусалиме и на военной базе Црифин под Тель-Авивом. ""Мы предпримем любые усилия для того, чтобы положить конец террору"", - заявил израильский премьер. Напомним, в результате взрывов в Иерусалиме и на базе Црифин погибли 15 человек. Немедленно после терактов ВВС Израиля нанесли ракетный удар по дому боевика экстремистской организации ХАМАС Махмуда аль-Захара, который, по данным военных, несет ответственность за подготовку взрывов. Кроме того, израильтяне арестовали 20 родственников смертников, совершивших теракты.",negative,0.45,
230,"Лидер КПРФ Геннадий Зюганов предложил увековечить память убитого в Турции российского посла Андрея Карлова, установив мемориальную табличку в его честь на здании МИД. Об этом в среду, 21 декабря, сообщает радиостанция «Говорит Москва». Председатель партии «Справедливая Россия» Сергей Миронов, в свою очередь, предложил присвоить Дальневосточному федеральному университету (ДВФУ) имя Андрея Карлова. «Считаем, что беззаветное служение России, дипломатический подвиг Андрея Геннадьевича зададут высокую патриотическую планку для нашей молодежи», — цитирует политика РИА Новости. 20 декабря стало известно, что один из выставочных залов Галереи современного искусства в Анкаре, где был убит посол, получит его имя. В честь него также назовут улицу, на которой расположено посольство России в Турции. 62-летний дипломат был застрелен в Анкаре 19 декабря во время открытия посвященной России фотовыставки в Галерее современного искусства. Нападавшим оказался 22-летний полицейский Мевлют Мерт Алтынташ, его ликвидировали вскоре после атаки. Карлов был назначен на пост чрезвычайного и полномочного посла России в Турции в июле 2013 года. До этого работал в консульском департаменте МИД России, с июля 2001-го по декабрь 2006-го был послом в КНДР. На дипломатической службе находился с 1976 года.",neutral,0.45,
240,"С 28 марта, когда сайт газеты The New York Times стал платным, читать газету в интернете за деньги согласились  уже более 100 тысяч человек. Об этом сообщает Agence France-Presse со ссылкой на квартальный отчет The New York Times. Чистая прибыль всей The New York Times, которая включает The New York Times, The Boston Globe, The International Herald Tribune и другие издания сократилась более чем вдвое и составила 5,4 миллиона долларов, говорится в отчете издательского дома. Столь низкий показатель в компании объясняют продолжающимся спадом на американском рынке печатных СМИ. Выручка The Times Co составила по итогам квартала 566,5 миллиона долларов, что на 3,6 процента хуже показателей аналогичного квартала годом ранее. По условиям подписки на сайт  The New York Times, читателям бесплатно доступно только 20 статей в месяц, остальные доступны только после регистрации. Сейчас многие крупные газеты обсуждают возможность перехода на платную подписку, надеясь с помощью этой меры компенсировать падение выручки в бумажной прессе. В 2010 году на аналогичный шаг решилась британская The Times. В ноябре этот издательский дом отчитался, что за The Times и Sunday Times в интернете заплатили 205 тысяч читателей. Из них около половины купили разовый доступ к сайтам, а не месячную подписку.",positive,0.45,
250,"Полиция Лос-Анджелеса окружила дом, где забаррикадировался вооруженный преступник, передает Sky News. Один полицейский погиб в перестрелке, еще один ранен. Как сообщается на сайте телеканала, в среду вечером некий мужчина позвонил в полицию и сказал, что убил трех членов своей семьи. На место преступления выехал отряд быстрого реагирования. Двое полицейских попытались проникнуть в дом, но преступник открыл по ним огонь. Им не удалось установить, есть ли в доме тела троих убитых. Раненые полицейские были доставлены в местную больницу. В четверг один из них скончался от полученных ранений, второй находится в тяжелом состоянии, но, по словам врачей, его жизнь вне опасности. Полиция продолжает осаду дома.",negative,0.45,
260,"Полицейские разыскивают неизвестных, совершивших разбойное нападение на частный дом в Новой Москве. Об этом Агентству городских новостей «Москва» сообщили в пресс-службе столичного главка МВД. В ночь на воскресенье, 15 мая, в полицию обратился житель деревни Пучково (Троицкий административный округ). Он рассказал, что к нему домой проникли четыре человека, которые, угрожая похожим на отвертку предметом, связали его и 58-летнюю женщину. На головы им надели тряпичные мешки. «После этого злоумышленники открыто похитили ювелирные украшения и скрылись», — рассказали в пресс-службе. Устанавливается сумма материального ущерба, ведется розыск преступников. В марте этого года в Иркутске мужчина пытался ограбить ломбард с помощью металлической трубки, примотанной скотчем к деревянной планке (получилось нечто похожее на обрез). Он пригрозил этим предметом продавцу, потребовал ценные вещи и деньги. Женщина успела воспользоваться кнопкой охранной сигнализации. На место прибыл наряд ЧОП. Охранники обезвредили грабителя и передали его полиции.",neutral,0.45,
